Recording Service, kurento, WebRTC-SFU, HTML5 Server, HTML5 Client, Presentation Conversion, BBB web, Redis PubSub, FSESL, Apps, Redis DB, FreeSWITCH

# note 1: kurento = webrtc Media Server https://github.com/kurento/ 
# note 2: if Flash Client !~ HTML5 Client -> remove all HTML5 Clients
# note 3: if webrtc !~ webrtc-sfu -> remove all webrtc-sfu

modelElementID,sentence
HTML5 Client,4
HTML5 Client,5
HTML5 Client,6
HTML5 Client,8
FreeSWITCH,18
Presentation Conversion,21
Redis PubSub,25
Redis PubSub,26
Redis DB,27
Redis DB,28
Recording Service,29
Apps,30
HTML5 Client,31
Apps,32
FreeSWITCH,36
FreeSWITCH,37
FreeSWITCH,40
Apps,41
Apps,42
Apps,44
Apps,45
Redis PubSub,47
FreeSWITCH,48
Redis DB,49
WebRTC-SFU,54
WebRTC-SFU,56
WebRTC-SFU,57
FreeSWITCH,58
Redis PubSub,65
HTML5 Client,66
HTML5 Client,67
FreeSWITCH,69
HTML5 Client,71
